title,company,location,locationType,type,salary,startDate,description,hiringCriteria,url
Software Intern (Start ASAP),TetraMem,Singapore,On-site,,,,"Support development of tools and applications for neural network models on TetraMem’s analog compute-in-memory chips. Your Role Here’s what you will be doing: Develop and optimize Python or C++ code for neural network and machine learning model compression, conversion, deployment, and runtime environments Analyze and adapt ML models to improve compatibility and efficiency on compute-in-memory hardware and software Support software design, development, and performance profiling Collaborate with AI researchers and hardware engineers to validate system-level functionality Participate in code reviews, testing, and documentation About You The company is looking for: Currently pursuing a degree in Computer Science, Electrical Engineering, or related field Solid programming experience in Python, C++, or similar Understanding of data structures, algorithms, and software architecture Familiarity with AI/ML frameworks (e.g., TensorFlow, PyTorch) is a plus Strong problem-solving skills and eagerness to learn Compensation & Benefits Salary Range: S$20-50/hr This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/tetramem/jobs-internships/software-intern-0
Software Engineer Intern (Start ASAP),Thales Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Thales Singapore Engineering Competence Centre as a Software Engineer Intern to develop and improve industrialization processes for new products in digital identity and security. Your role Here’s what you will be doing: Refine requirements and follow coding practices to implement features Present and demonstrate the implemented features and improvements Improve product delivery efficiency through validation automation, monitoring, and continuous delivery Contribute to development security by secure coding monitoring and addressing reported vulnerabilities About you The company is looking for: Skilled in object-oriented programming in either Java or C# Knowledge in application development and testing Proactive, adaptable, and curious to learn Strong communication and teamwork skills Availability to commit full time for 6 months is preferred Training & development At the end of your internship, you will have exposure to the full flow of software delivery including requirement refinement, validation testing, continuous automation delivery, and security scan tools. Career progression Work within a well-established R&D and engineering centre serving major customers worldwide in digital identity and security domains, gaining experience in mobile connectivity, IoT, banking & payment, and government solutions. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management,https://sg.prosple.com/graduate-employers/thales-singapore/jobs-internships/software-engineer-intern-2
Software Engineer Intern (Jan 2026),QCP Capital,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 31 Jan 2026,"Internship opportunity to design and build enterprise systems at QCP Capital, a leading digital assets trading firm in Singapore. Your Role Here’s what you will be doing: Work on the design, architecture, and building of enterprise systems Build tools, reports, and feeds to meet business requirements from trading, operations, and risk teams Ensure software quality, efficiency, cost-effectiveness, and operational resiliency Participate in cross-company technology efforts to achieve business and operational goals Collaborate closely with Heads of business lines and front office trading for system implementation and maintenance About You The company is looking for: Current university student pursuing a degree related to computer science, software engineering, or a related field Proficient in at least one programming language: Go, Java, or Python Knowledge of AWS and/or other cloud environments Experience documenting processes and interfaces using tools such as JIRA, Confluence, or other reporting tools Excellent written and verbal communication skills Students from other courses with strong coding and problem-solving abilities are also welcome Year 3-4 students preferred Compensation & Benefits High level of autonomy and recognition based on performance Flexible working arrangements Casual and fun work environment Training & Development Support for holistic staff development to maximize long-term potential Career Progression Opportunity to make an impact and have your voice heard by management in a growing firm This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/qcp-capital/jobs-internships/software-engineer-intern-0
"Software Engineer Intern, Embedded Firmware (Jan 2026)",Hewlett Packard Enterprise Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 31 Jan 2026,"Join Hewlett Packard Enterprise as a Software Engineer Intern in Embedded Firmware, working onsite in Singapore to design and test networking software. Your Role Here’s what you will be doing: Design, implement, test, and validate software for state-of-the-art networking products. Apply and build on existing technical knowledge and expand into other platform work. Understand and gather project requirements, design sub-modules, and conduct investigations. Identify and mitigate risk factors. Debug issues, derive fixes, and drive issue closure with relevant parties. Participate actively in technical discussions to enable decision-making and progress. Engage others directly in discussions when necessary. Provide clear technical updates and proposals to team lead and manager regularly. Ensure timely deliverables of assigned tasks with highest quality. Collaborate with specialized module developers, hardware and manufacturing teams, distinguished technologists and architects, project and management teams, cross-geographical and cross-functional teams, and external vendors. About You The company is looking for: Ability to start in January and commit for a minimum of 20 weeks. Currently enrolled in a Bachelor's degree in Computer Engineering, Computer Science, Electrical Engineering, or equivalent program. Solid understanding of software development principles. Experience with software development tools and processes. Knowledge of C programming. Interest and ability to conduct issue investigation and develop solutions. Self-motivated, eager, and quick learner. Passion for technology. Team player, able to collaborate and work with global and cross-functional teams. Compensation & Benefits Comprehensive health and wellbeing benefits supporting physical, financial, and emotional wellbeing. Flexible work arrangements to manage work and personal needs. Inclusive work environment valuing varied backgrounds. Training & Development HPE invests in career growth with specific programs to help you reach your career goals, whether becoming a knowledge expert or applying skills to other divisions. Career Progression Opportunities to stretch and grow your career within a culture that embraces innovation and bold moves. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/hewlett-packard-enterprise-singapore/jobs-internships/software-engineer-intern-embedded-firmware
Software Engineer Program Summer Analyst (Jun 2026),J.P. Morgan Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jun 2026 - 30 Jun 2026,"Join JPMorganChase as a Software Engineer Intern to develop innovative digital solutions in a global technology environment. Your role Here’s what you will be doing: Own projects end-to-end, keeping teams and stakeholders updated on development progress. Collaborate and share ideas with technologists worldwide. Develop skills through ongoing training, mentorship, and access to senior leaders. Create innovative solutions impacting customers, clients, and employees. Work on agile teams alongside peers and experienced software engineers. About you What you'll need: Pursuing a bachelor's degree with expected graduation between September 2026 and August 2027. Available for full-time internship from June 2026 to August 2026. Ability to work in large, collaborative teams and foster an inclusive, innovative culture. Proficiency in one or more programming languages such as Java, Python, Go, or technologies like Robotics and Mobile Apps. Understanding of software development skills including business analysis, development, maintenance, and improvement. Familiarity with developmental toolsets and basic knowledge of industry-wide technology trends and best practices. Exposure to agile methodologies such as CI/CD, application resiliency, and security. Familiarity with Big Data or Data Warehousing concepts. Computer Science and/or Engineering majors preferred; other majors may be considered. Training & development Induction covering tech strategies, products, and systems. Networking events, senior speaker sessions, and peer-mentorship programs. Ongoing training and mentorship with access to senior leaders. Career progression Top performers may receive offers for full-time roles upon graduation in 2027. Opportunity to join a global technology team and advance your career in financial services technology. How to apply Submit a complete application including your resume and location preference. Applications are reviewed on a rolling basis; early submission is encouraged due to limited space. If advanced, complete a required coding challenge via HackerRank to proceed in the selection process. Completion of the coding challenge is mandatory for further consideration. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/jp-morgan-singapore/jobs-internships/software-engineer-program-summer-analyst
Software Engineer Intern (Cross Project Tools) (Start ASAP),Hitachi Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Hitachi Rail as a Software Engineer Intern in Singapore, contributing to innovative rail signalling and safety solutions in a full-time, on-site role. Your Role Key responsibilities include: Collaborate with team members to understand software requirements and contribute to the design and implementation of software solutions. Write, test, and debug code, ensuring high-quality and maintainable software. Work on front-end, back-end development, and/or solution integration depending on project requirements and lifecycle stage. Thoroughly document design to ensure usability, supportability, and maintainability of developed software. Work in a cross-functional team in a lab environment. About You The company is looking for: Experience with Python, Java, C, C++, and/or C#. Experience with RESTful services. Experience with relational and NoSQL databases. Experience in software-hardware integration is a plus. Familiarity with Linux environment. Knowledge of message or event-oriented middleware such as MQTT, Apache Kafka, Confluent Kafka, ActiveMQ, RabbitMQ is a bonus. Familiarity with front-end development is good to have. Experience with virtualization, containers, Docker, and Kubernetes. Positive attitude and willingness to learn new skills. Team player with good interpersonal and communication skills. Students able to commit to a minimum of 6 months full-time credit-bearing internships are preferred. Compensation & Benefits Networking through internal networks and working in international teams. Opportunity to contribute to the digitization of rail worldwide. Secure and permanent job with a global company. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics,https://sg.prosple.com/graduate-employers/hitachi-singapore/jobs-internships/software-engineer-intern-cross-project-tools
Associate Mobile Robotics Software Engineer Intern (Start ASAP),AUMOVIO Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Develop autonomy software for mobile robots and connect fleets to web-based management systems at AUMOVIO, a leading mobility technology company. Your Role Key responsibilities include: Develop autonomy software for mobile robots using the ROS2 framework. Develop software that connects fleets of robots to web-based fleet management systems. Develop tooling for automating tests. Develop and improve simulation test capabilities. Execute verification tests on different mobile robot platforms and prototypes. About You The company is looking for: Software development experience and know-how in C/C++/Python for autonomy and React/TypeScript for web development. Quick learner with eagerness to learn. Hands-on experience with robots, IoT, or embedded devices is an advantage. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics,https://sg.prosple.com/graduate-employers/aumovio-singapore/jobs-internships/associate-mobile-robotics-software-engineer-intern
Software Development and Integration Engineer (Intern) (Jan 2026),Thales Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 31 Jan 2026,"Join Thales as a Software Development & Integration Intern to work on innovative technology solutions in aerospace, cybersecurity, and critical infrastructure. Your role Here’s what you will be doing: Be part of a dynamic project team delivering innovative and secure technology solutions for Homeland Security, Smart Cities, and Critical Infrastructure projects. Collaborate with software and DevOps teams to develop and integrate software components across backend and frontend systems. Assist in defining and automating CI/CD pipelines for build, test, and deployment. Package and prepare applications for on-site deployment. Support Integration, Verification, Validation & Qualification (IVVQ) and site deployment activities. Gain hands-on experience with the Software Development Life Cycle (SDLC) and DevOps practices in a large-scale government project. Learn to work with modern web, mobile, and cloud-native technology stacks, including Docker and Kubernetes for containerized deployments. About you The company is looking for: Experience in developing backend and front-end applications, preferably with basic experience in Java, Spring Boot, and Angular. Experience with virtualization and container technologies; knowledge of Docker and Kubernetes is a plus. Enthusiasm to learn new technologies and skills. Good communication skills. Ability to commit full-time for ideally 6 months (minimum 5 months) starting January 2026. Training & development Opportunity to gain hands-on experience with SDLC and DevOps practices in a large-scale government project. Exposure to modern web, mobile, and cloud-native technology stacks. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics,https://sg.prosple.com/graduate-employers/thales-singapore/jobs-internships/software-development-and-integration-engineer-intern
Software Development and Integration Engineer (Intern) - C# (Jan 2026),Thales Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 31 Jan 2026,"Join Thales as a Software Development & Integration Intern to develop and integrate secure software solutions for critical infrastructure and government projects. Your role Here’s what you will be doing: Be part of a dynamic project team delivering innovative and secure technology solutions for Homeland Security, Smart Cities, and Critical Infrastructure projects. Collaborate with software and DevOps teams to develop and integrate software components across backend and frontend systems. Assist in defining and automating CI/CD pipelines for build, test, and deployment. Package and prepare applications for on-site deployment. Support Integration, Verification, Validation & Qualification (IVVQ) and site deployment activities. Gain hands-on experience with the Software Development Life Cycle (SDLC) and DevOps practices in a large-scale government project. About you The company is looking for: Basic experience in C#, .Net Core, and MS SQL for backend and front-end application development. Exposure to Linux scripting and automation is a plus. Eagerness to learn and explore new technologies. Good team player with effective communication and collaboration skills. Passion for building reliable and secure systems. Ability to commit full-time for ideally 6 months (minimum 5 months) starting January 2026. Training & development Gain hands-on experience with SDLC and DevOps practices in a large-scale government project, working alongside software and DevOps teams. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management,https://sg.prosple.com/graduate-employers/thales-singapore/jobs-internships/software-development-and-integration-engineer-intern-c
Software Engineer Intern (Android Development) (Start ASAP),Thales Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Thales Singapore as an Android Mobile Developer to design and develop secure mobile payment and banking solutions within a global technology leader. Your role Here’s what you will be doing: Participate in design, implementation, and validation of mobile SDK and application within the R&D project team structure in accordance with institutionalized processes and delivery standards Participate in the design and development of mobile SDKs Contribute to the improvement of existing technology platform/baseline and development methodology through prototyping and patent proposal Troubleshoot and provide SL3 support for customers About you The company is looking for: Currently studying or holding a degree in Information Security, Electrical/Electronics/Computer Engineering, or related fields Knowledge of mobile development in Android, especially on relevant core platform technologies Proficiency in Java and Kotlin Strong interest in the mobile applications ecosystem Motivated self-starter with strong logical and creative problem-solving skills This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/thales-singapore/jobs-internships/software-engineer-intern-android-development
